ID,Type
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-building
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
0,prox-in-classified
0,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-building
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
1,prox-in-classified
1,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
2,prox-in-building
2,prox-in-classified
2,prox-out-classified
2,prox-in-classified
2,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-classified
3,prox-out-classified
3,prox-in-classified
3,prox-out-classified
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
3,prox-in-classified
3,prox-out-classified
3,prox-in-building
3,prox-in-classified
3,prox-out-classified
